기준_년분기_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,자치구,행정동,상권명,상권분류,면적(㎡),검색어,위도,경도,연도,일평균_매출_금액,일최대_매출_금액,일평균_매출_건수,일최대_매출_건수,총점
20201,한식음식점,1936586496,61824,1410166523,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,276655213.7,338093319,8832,10203,6
20201,중식음식점,47023381,2280,27718020,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,6717625.857,10073288,325.7142857,472,4
20201,치킨전문점,87669776,3552,49975537,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,12524253.71,19869415,507.4285714,762,8
20201,분식전문점,57292556,8539,33426350,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,8184650.857,12976460,1219.857143,1880,8
20201,호프-간이주점,101461357,2882,65666597,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,14494479.57,18624801,411.7142857,528,8
20201,커피-음료,117166871,17236,81893931,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,16738124.43,18593173,2462.285714,2585,8
20201,외국어학원,36495117,283,29207111,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,5213588.143,15502831,40.42857143,89,0
20201,스포츠 강습,2271943,15,2271943,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,324563.2857,2271943,2.142857143,15,0
20201,일반의원,384184357,17660,258341557,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,54883479.57,77486642,2522.857143,2964,0
20201,치과의원,761215348,4599,659354075,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,108745049.7,213877017,657,947,0
20201,미용실,20389498,736,13650995,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,2912785.429,5566984,105.1428571,170,2
20201,네일숍,2062230,77,2007961,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,294604.2857,651231,11,22,1
20201,세탁소,27542059,2083,21159956,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,3934579.857,6382103,297.5714286,466,2
20201,노래방,101651463,882,61714637,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,14521637.57,26419792,126,234,5
20201,슈퍼마켓,36877476,39,28421083,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,5268210.857,14340336,5.571428571,8,6
20201,편의점,407420876,64816,295209009,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,58202982.29,64332568,9259.428571,10406,8
20201,일반의류,30973139,364,23827483,마포구,망원2동,KB국민은행 망원동지점,골목상권,72666,서울 마포구 망원2동 KB국민은행 망원동지점,37.55905,126.90687,2020,4424734.143,12139495,52,106,1
20201,한식음식점,915755119,23970,648032743,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,130822159.9,158748527,3424.285714,3916,6
20201,중식음식점,73326284,3194,56075991,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,10475183.43,13327598,456.2857143,599,4
20201,커피-음료,205160725,23657,127098633,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,29308675,40685249,3379.571429,4287,8
20201,미용실,15491846,473,12428074,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,2213120.857,3190114,67.57142857,109,2
20201,노래방,55030837,475,36286681,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,7861548.143,11070823,67.85714286,98,5
20201,슈퍼마켓,41479498,324,41479498,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,5925642.571,14009038,46.28571429,115,6
20201,일반의류,470830547,2632,250881116,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,67261506.71,192549833,376,823,1
20201,화장품,68720864,2438,67160802,마포구,성산1동,마포구청역 4번,골목상권,113289,서울 마포구 성산1동 마포구청역 4번,37.56265187,126.9044159,2020,9817266.286,20964627,348.2857143,669,4
20201,한식음식점,501506082,16593,320217219,마포구,성산2동,새터산,골목상권,101078,서울 마포구 성산2동 새터산,37.56642262,126.9056403,2020,71643726,92983965,2370.428571,2677,6
20201,제과점,26554830,3755,17776706,마포구,성산2동,새터산,골목상권,101078,서울 마포구 성산2동 새터산,37.56642262,126.9056403,2020,3793547.143,5027071,536.4285714,686,7
20201,치킨전문점,18207128,887,11027448,마포구,성산2동,새터산,골목상권,101078,서울 마포구 성산2동 새터산,37.56642262,126.9056403,2020,2601018.286,3708214,126.7142857,194,8
20201,일반교습학원,904167008,3345,700489523,마포구,성산2동,새터산,골목상권,101078,서울 마포구 성산2동 새터산,37.56642262,126.9056403,2020,129166715.4,195189089,477.8571429,666,0
20201,미용실,93344396,5142,60597971,마포구,성산2동,새터산,골목상권,101078,서울 마포구 성산2동 새터산,37.56642262,126.9056403,2020,13334913.71,22613607,734.5714286,1136,2
20201,편의점,345654153,61103,241180036,마포구,성산2동,새터산,골목상권,101078,서울 마포구 성산2동 새터산,37.56642262,126.9056403,2020,49379164.71,54279222,8729,9169,8
20201,한식음식점,2894619900,70769,2150688455,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,413517128.6,515567606,10109.85714,12106,6
20201,중식음식점,574681931,8053,452347624,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,82097418.71,115168293,1150.428571,1650,4
20201,일식음식점,300393978,4084,220297239,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,42913425.43,69182381,583.4285714,904,4
20201,양식음식점,350780831,7158,225718383,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,50111547.29,70208440,1022.571429,1365,4
20201,제과점,239858077,30202,151557568,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,34265439.57,45243034,4314.571429,5435,7
20201,패스트푸드점,148515307,13099,98308340,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,21216472.43,26459469,1871.285714,2107,9
20201,치킨전문점,107738984,4050,78508507,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,15391283.43,17272329,578.5714286,669,8
20201,분식전문점,190102817,4439,143720288,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,27157545.29,34537610,634.1428571,818,8
20201,호프-간이주점,213177307,4870,152185303,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,30453901,46001496,695.7142857,842,8
20201,커피-음료,142046998,21432,105131606,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,20292428.29,23565417,3061.714286,3638,8
20201,일반교습학원,223605402,667,215689039,마포구,합정동,합정역 8번,골목상권,173803,서울 마포구 합정동 합정역 8번,37.54934165,126.912841,2020,31943628.86,61678416,95.28571429,184,0
